dataset,breed_group,primary_breed,bite_code,bite_severity,gender,age,average height,average_weight
ny,MIX,Mixed/Other,,,M,1,,
ny,SHIH TZU,Shih Tzu,,,M,5,,
ny,SHIH TZU,Shih Tzu,,,M,8,,
ny,CHIHUAHUA,Chihuahua,,,M,3,,
ny,SHIH TZU,Shih Tzu,,,N,6,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,6,,
ny,CHIHUAHUA,Chihuahua,,,,,,
ny,PIT BULL,Pit Bull,,,M,4,,
ny,PIT BULL,Pit Bull,,,M,,,
ny,UNKNOWN,SHEPERD,,,,,,
ny,COCKER SPAN,Cocker Spaniel,,,,,,
ny,UNKNOWN,UNKNOWN,,,F,3,,
ny,UNKNOWN,UNKNOWN,,,F,3,,
ny,CHIHUAHUA,Chihuahua,,,,6,,
ny,PIT BULL,Pit Bull,,,M,5,,
ny,PIT BULL,Pit Bull,,,,,,
ny,CHIHUAHUA,Chihuahua,,,F,1,,
ny,MIN PINSCHER,Miniature Pinscher,,,F,12,,
ny,PIT BULL,Pit Bull,,,,,,
ny,GOLDEN RETR,Golden Retriever,,,N,,,
ny,UNKNOWN,SHEPERD,,,,,,
ny,SHIH TZU,Shih Tzu,,,,,,
ny,SHIH TZU,Shih Tzu,,,,,,
ny,AMER BULLDOG,AMERICAN BULLDOG,,,F,2,23.5,92.5
ny,UNKNOWN,UNKNOWN,,,N,9,,
ny,COCKER SPAN,Cocker Spaniel,,,M,0.17,,
ny,SHIH TZU,Shih Tzu,,,N,4,,
ny,PIT BULL,Pit Bull,,,,,,
ny,DOBERMAN PINSCH,Doberman Pinscher,,,M,4,,
ny,UNKNOWN,SHEPERD,,,,,,
ny,BEAGLE,Beagle,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,TERRIER MIX,,,S,4,,
ny,CHIHUAHUA,Chihuahua,,,M,4,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,POODLE MIX,,,F,,,
ny,PIT BULL,Pit Bull,,,S,5,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIN PINSCHER,Miniature Pinscher,,,N,,,
ny,ENG BULLDOG,"Bull Dog, English",,,,,,
ny,CHIHUAHUA,Chihuahua,,,N,5,,
ny,MALTESE,Maltese,,,N,2,,
ny,BEAGLE,Beagle,,,,11,,
ny,PIT BULL,Pit Bull,,,M,5,,
ny,SHIH TZU,Shih Tzu,,,M,8,,
ny,BOSTON TERRIER,Boston Terrier,,,S,1,,
ny,YORKSHIRE TERR,Yorkshire Terrier,,,,,,
ny,PIT BULL,Pit Bull,,,N,5,,
ny,UNKNOWN,UNKNOWN,,,M,4,,
ny,UNKNOWN,UNKNOWN,,,M,4,,
ny,UNKNOWN,UNKNOWN,,,M,4,,
ny,SIBERIAN HUSKY,Siberian Husky,,,,,,
ny,SHIH TZU,Shih Tzu,,,M,9,,
ny,UNKNOWN,UNKNOWN,,,F,5,,
ny,MIX,SHIH TZU/MALTESE X,,,M,4,,
ny,FRENCH BULLDOG,"Bull Dog, French",,,,,,
ny,MIX,SMALL MIXED BREED,,,M,0.67,,
ny,MIX,MEDIUM MIXED BREED,,,M,3,,
ny,PIT BULL,LABRADOR/ PIT-BULL,,,M,1,,
ny,ENG BULLDOG,ENGLISH BULL DOG,,,M,2,,
ny,PIT BULL,Pit Bull,,,,,,
ny,JACK RUSS TERR,Jack Russ,,,N,10,,
ny,PIT BULL,American Pit Bull Terrier/Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,Mixed/Other,,,,,,
ny,SHIH TZU,Shih Tzu,,,M,4,,
ny,COCKER SPAN,Cocker Spaniel,,,M,5,,
ny,AMER BULLDOG,AMERICAN BULLDOG,,,F,2,23.5,92.5
ny,LABRADOR RETR,Labrador Retriever,,,,4,,
ny,DOBERMAN PINSCH,Doberman Pinscher,,,,,,
ny,BULLDOG,BULL,,,,,23.5,92.5
ny,SIBERIAN HUSKY,Siberian Husky,,,,,,
ny,CHOW CHOW,Chow Chow,,,F,9,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,ROTTWEILER,Rottweiler,,,F,1,,
ny,PIT BULL,Pit Bull,,,F,,,
ny,GERM SHEPHERD,German Shepherd,,,,,,
ny,UNKNOWN,UNKNOWN,,,M,3,,
ny,MIX,LARGE MIXED BREED,,,F,0.42,,
ny,UNKNOWN,UNKNOWN,,,M,5,,
ny,POODLE STND,"Poodle, Standard",,,F,9,,
ny,ROTTWEILER,Rottweiler,,,M,2,,
ny,ROTTWEILER,Rottweiler,,,,,,
ny,PIT BULL,American Pit Bull Terrier/Pit Bull,,,,,,
ny,PIT BULL,American Pit Bull Terrier/Pit Bull,,,,,,
ny,PIT BULL,American Pit Bull Terrier/Pit Bull,,,,,,
ny,SHIH TZU,Shih Tzu,,,S,0.23,,
ny,PIT BULL,Pit Bull,,,M,0.92,,
ny,PIT BULL,Pit Bull,,,M,5,,
ny,POMERANIAN,Pomeranian,,,,,,
ny,PIT BULL,Pit Bull,,,M,3,,
ny,CHIHUAHUA,Chihuahua,,,,,,
ny,SHIH TZU,Shih Tzu,,,M,5,,
ny,MIX,Mixed/Other,,,M,,,
ny,PIT BULL,Pit Bull,,,F,,,
ny,PIT BULL,Pit Bull,,,F,,,
ny,CHIHUAHUA,Chihuahua,,,N,1,,
ny,PIT BULL,Pit Bull,,,M,7,,
ny,SHIH TZU,Shih Tzu,,,M,2,,
ny,YORKSHIRE TERR,Yorkshire Terrier,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,Mixed/Other,,,M,8,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,10,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,TERR MIX,,,N,8,,
ny,PIT BULL,Pit Bull,,,,,,
ny,SHIH TZU,Shih Tzu,,,,,,
ny,MIX,German Shepherd Crossbreed,,,,,,
ny,SCHNAUZER STAND,"Schnauzer, Standard",,,,,,
ny,PIT BULL,Pit Bull,,,F,4,,
ny,PIT BULL,Pit Bull,,,M,4,,
ny,FRENCH BULLDOG,"Bull Dog, French",,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,UNKNOWN,UNKNOWN,,,F,2,,
ny,TIBETAN TERR,Tibetan Terrier,,,M,2,,
ny,MIX,Yorkshire Terrier Crossbreed,,,F,1,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,MEDIUM MIXED BREED,,,M,1,,
ny,PIT BULL,Pit Bull,,,N,5,,
ny,PUG,Pug,,,N,1,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,SMALL MIXDED DOG,,,,,,
ny,PIT BULL,Pit Bull,,,F,1,,
ny,MIX,TERR MIX,,,S,4,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,SMALL MIXED BREED,,,M,3,,
ny,MIX,SMALL MIXED BREED,,,M,3,,
ny,LABRADOR RETR,Labrador Retriever,,,F,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,M,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,CHIHUAHUA,Chihuahua,,,M,7,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,LARGE MIXED BREED,,,M,,,
ny,MIX,LARGE MIXED BREED,,,M,,,
ny,OLDENG SHEEPDOG,Old English Sheepdog,,,M,,,
ny,PIT BULL,Pit Bull,,,M,7,,
ny,MIX,LARGE MIXED BREED,,,M,7,,
ny,FRENCH BULLDOG,"Bull Dog, French",,,N,6,,
ny,PIT BULL,Pit Bull,,,F,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,LARGE MIXED BREED,,,F,0.83,,
ny,SHIH TZU,Shih Tzu,,,N,3,,
ny,PIT BULL,Pit Bull,,,,,,
ny,SHIH TZU,Shih Tzu,,,,,,
ny,YORKSHIRE TERR,Yorkshire Terrier,,,,,,
ny,SHIH TZU,Shih Tzu,,,,,,
ny,YORKSHIRE TERR,Yorkshire Terrier,,,,,,
ny,MIX,LARGE MIXED BREED,,,M,4,,
ny,MIX,LARGE MIXED BREED,,,M,4,,
ny,CHIHUAHUA,Chihuahua,,,M,2,,
ny,UNKNOWN,SHEPERD,,,,,,
ny,UNKNOWN,SHEPERD,,,,,,
ny,UNKNOWN,SHEPERD,,,,,,
ny,MIX,Mixed/Other,,,M,2,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,UNKNOWN,SHEPERD,,,N,1,,
ny,PIT BULL,Pit Bull,,,F,2,,
ny,ST BERNARD RGH,Saint Bernard,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,SHEPHERD MIX,,,,,,
ny,PIT BULL,Pit Bull,,,M,5,,
ny,PIT BULL,Pit Bull,,,F,8,,
ny,PIT BULL,Pit Bull,,,M,,,
ny,SC WHEAT TERR,WHEATON TERRIER,,,M,,,
ny,UNKNOWN,MEDIUM SIZE DOG,,,F,1,,
ny,UNKNOWN,MEDIUM SIZE DOG,,,F,1,,
ny,POODLE STND,"Poodle, Standard",,,,,,
ny,BOSTON TERRIER,Boston Terrier,,,F,4,,
ny,SHIH TZU,Shih Tzu,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,Mixed/Other,,,,5,,
ny,MIX,Mixed/Other,,,M,2,,
ny,CHIHUAHUA,Chihuahua,,,M,1,,
ny,PIT BULL,American Pit Bull Mix / Pit Bull Mix,,,N,7,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,SMALL MIXED BREED,,,M,2,,
ny,MIX,SMALL MIXED BREED,,,M,2,,
ny,MIX,JACK RUSSELL & CHIHUAHUA,,,M,2,,
ny,POODLE TOY,"Poodle, Toy",,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,YORKSHIRE TERR,Yorkshire Terrier,,,,,,
ny,MIX,Collie Crossbreed,,,,,,
ny,MIX,Beagle Crossbreed,,,,,,
ny,PIT BULL,Pit Bull,,,M,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,SHIH TZU,Shih Tzu,,,F,8,,
ny,MIX,LARGE MIXED BREED,,,M,7,,
ny,UNKNOWN,SHEPERD,,,,,,
ny,BICHON FRISE,Bichon Frise,,,N,6,,
ny,PIT BULL,"GERMAN SHEP, PIT BULL & HUSKY MIX",,,M,2,,
ny,MIX,Yorkshire Terrier Crossbreed,,,,,,
ny,PIT BULL,Pit Bull,,,M,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,TERRIER,TERRIER,,,,,,
ny,GERM SHEPHERD,German Shepherd,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,F,1,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,SMALL MIXED BREED,,,M,,,
ny,CHOW CHOW,Chow Chow,,,M,1,,
ny,LABRADOR RETR,Labrador Retriever,,,,,,
ny,SIBERIAN HUSKY,Siberian Husky,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,GERM SHEPHERD,German Shepherd,,,F,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,POMERANIAN,Pomeranian,,,M,3,,
ny,MIX,Mixed/Other,,,F,,,
ny,MIX,PUG X SHIH TZU,,,M,1,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,LARGE MIX BREED,,,F,3,,
ny,MIX,LARGE MIX BREED,,,F,3,,
ny,MIX,LARGE MIX BREED,,,F,3,,
ny,MIX,MEDIUM MIXED BREED,,,M,2,,
ny,YORKSHIRE TERR,Yorkshire Terrier,,,,,,
ny,SHIH TZU,Shih Tzu,,,F,7,,
ny,MIX,Yorkshire Terrier Crossbreed,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,American Pit Bull Mix / Pit Bull Mix,,,F,,,
ny,PIT BULL,BLUE NOSE PIT BULL,,,M,2,,
ny,SHIH TZU,Shih Tzu,,,M,6,,
ny,PIT BULL,Pit Bull,,,M,,,
ny,POMERANIAN,Pomeranian,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,CHOW CHOW,Chow Chow,,,M,10,,
ny,PIT BULL,Pit Bull,,,M,10,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,Mixed/Other,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,F,5,,
ny,MIX,LARGE MIX BREED,,,M,3,,
ny,MIX,LARGE MIX BREED,,,M,3,,
ny,MIX,LARGE MIX BREED,,,M,2,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,CHIHUAHUA,Chihuahua,,,M,5,,
ny,PIT BULL,Pit Bull,,,N,11,,
ny,GERM SHEPHERD,German Shepherd,,,M,2,,
ny,SHIH TZU,Shih Tzu,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,SHIH TZU,Shih Tzu,,,,,,
ny,PIT BULL,Pit Bull,,,F,0.5,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,SMALL MIXED BREED,,,F,8,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,MEDIUM MIXED BREED,,,M,,,
ny,COCKER SPAN,Cocker Spaniel,,,M,3,,
ny,PIT BULL,Pit Bull,,,F,1,,
ny,ROTTWEILER,Rottweiler,,,M,3,,
ny,MIX,SMALL MIXED BREED,,,F,3,,
ny,MIX,LARGE MIXED BREED,,,M,2,,
ny,MIX,LARGE MIXED BREED,,,M,2,,
ny,MIX,LARGE MIXED BREED,,,M,2,,
ny,MIX,LARGE MIXED BREED,,,M,2,,
ny,MIX,Mixed/Other,,,N,11,,
ny,ROTTWEILER,Rottweiler,,,,,,
ny,PIT BULL,Pit Bull,,,M,3,,
ny,PIT BULL,Pit Bull,,,,,,
ny,SHIH TZU,Shih Tzu,,,,,,
ny,SHIH TZU,Shih Tzu,,,,,,
ny,MIX,LARGE MIX BREED,,,F,4,,
ny,MIX,LARGE MIX BREED,,,F,4,,
ny,MIX,LARGE MIX BREED,,,F,4,,
ny,MIX,MEDIUM MIXED BREED,,,F,7,,
ny,SIBERIAN HUSKY,Siberian Husky,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,GERM SHEPHERD,German Shepherd,,,M,,,
ny,PIT BULL,Pit Bull,,,M,2,,
ny,SHIH TZU,Shih Tzu,,,,1,,
ny,MIX,LARGE MIX BREED,,,F,0.58,,
ny,MIX,LARGE MIX BREED,,,F,0.58,,
ny,BULLMASTIFF,"Mastiff, Bull",,,,,,
ny,YORKSHIRE TERR,Yorkshire Terrier,,,F,0.92,,
ny,MIX,BULL DOG MIX PUG,,,M,0.92,,
ny,SIBERIAN HUSKY,Siberian Husky,,,,,,
ny,PIT BULL,American Pit Bull Terrier/Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,S,9,,
ny,MIX,SMALL MIXED BREED,,,M,5,,
ny,PIT BULL,Pit Bull,,,,,,
ny,SIBERIAN HUSKY,Siberian Husky,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,S,6,,
ny,GERM SHEPHERD,German Shepherd,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,FRENCH BULLDOG,"Bull Dog, French",,,M,0.25,,
ny,DOBERMAN PINSCH,Doberman Pinscher,,,M,0.33,,
ny,MIX,SMALL MIXED BREED,,,M,5,,
ny,MIX,SMALL MIXED BREED\,,,M,5,,
ny,MIX,Mixed/Other,,,,,,
ny,AMER ESKIMO,AMERICAN ESKIMO,,,N,4,,
ny,ROTTWEILER,Rottweiler,,,,,,
ny,POMERANIAN,Pomeranian,,,,,,
ny,MIX,LARGE MIXED BREED,,,M,,,
ny,MIX,MEDIUM MIXED BREED,,,M,3,,
ny,MIX,MEDIUM MIXED BREED,,,M,3,,
ny,MIX,Labrador Retriever Crossbreed,,,M,,,
ny,UNKNOWN,UNKNOWN,,,M,0.67,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,MIXED BREED,,,M,0.92,,
ny,UNKNOWN,UNKNOWN,,,M,4,,
ny,PIT BULL,Pit Bull,,,M,3,,
ny,MIX,Collie Crossbreed,,,F,,,
ny,PIT BULL,Pit Bull,,,F,3,,
ny,MIX,German Shepherd Crossbreed,,,N,11,,
ny,UNKNOWN,SHEPERD,,,,,,
ny,BULL TERRIER,Bull Terrier,,,M,1,,
ny,BOSTON TERRIER,Boston Terrier,,,N,5,,
ny,PIT BULL,Pit Bull,,,,,,
ny,CANE CORSO,Cane Corso,,,M,5,,
ny,MALTESE,Maltese,,,,,,
ny,MIX,LARGE MIXED BREED,,,M,,,
ny,MALTESE,Maltese,,,,,,
ny,PIT BULL,American Pit Bull Mix / Pit Bull Mix,,,M,11,,
ny,MIX,Mixed/Other,,,M,1,,
ny,ST BERNARD RGH,Saint Bernard,,,M,3,,
ny,MIX,LARGE MIXED BREED,,,M,,,
ny,MIX,MEDIUM MIXED BREED,,,M,1,,
ny,MALTESE,Maltese,,,N,12,,
ny,PIT BULL,Pit Bull,,,M,,,
ny,PIT BULL,Pit Bull,,,M,,,
ny,YORKSHIRE TERR,Yorkshire Terrier,,,,,,
ny,SHIH TZU,Shih Tzu,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,Mixed/Other,,,M,2,,
ny,MIX,LARGE MIXED BREED,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,M,4,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,M,4,,
ny,PIT BULL,Pit Bull,,,,,,
ny,CHIHUAHUA,Chihuahua,,,M,,,
ny,COCKER SPAN,Cocker Spaniel,,,F,0.31,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,F,7,,
ny,MIX,Labrador Retriever Crossbreed,,,N,3,,
ny,MIX,MEDIUM MIXED BREED,,,M,1,,
ny,MIX,LARGE MIX BREED,,,F,3,,
ny,PIT BULL,Pit Bull,,,M,,,
ny,PIT BULL,Pit Bull,,,M,8,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,M,2,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,German Shepherd Crossbreed,,,M,1,,
ny,MIX,MEDIUM MIXED BREED,,,F,,,
ny,MALTESE,Maltese,,,,,,
ny,SHIH TZU,Shih Tzu,,,,,,
ny,MIX,Mixed/Other,,,M,,,
ny,PIT BULL,American Pit Bull Mix / Pit Bull Mix,,,N,5,,
ny,PIT BULL,Pit Bull,,,,,,
ny,SIBERIAN HUSKY,Siberian Husky,,,F,5,,
ny,MIX,LARGE MIX BREED,,,M,2,,
ny,SHIH TZU,Shih Tzu,,,F,0.58,,
ny,MIX,Chihuahua Crossbreed,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,LABRADOR RETR,Labrador Retriever,,,,,,
ny,MIX,LARGE MIXED BREED,,,M,7,,
ny,PIT BULL,Pit Bull,,,M,10,,
ny,SHIH TZU,Shih Tzu,,,F,3,,
ny,PIT BULL,Pit Bull,,,,,,
ny,YORKSHIRE TERR,Yorkshire Terrier,,,M,9,,
ny,SIBERIAN HUSKY,Siberian Husky,,,,,,
ny,POODLE STND,"Poodle, Standard",,,,,,
ny,POODLE STND,"Poodle, Standard",,,,,,
ny,MIX,Mixed/Other,,,M,,,
ny,SHETLD SHEEPDOG,Shetland Sheepdog,,,,,,
ny,PEKINGESE,Pekingese,,,M,3,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,SMALL MIXED BREED,,,,10,,
ny,MIX,Mixed/Other,,,M,12,,
ny,MIX,LARGE MIXED BREED,,,,,,
ny,MIX,Mixed/Other,,,F,2,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,MEDIUM MIXED BREED,,,N,11.5,,
ny,CHIHUAHUA,Chihuahua,,,M,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,S,15,,
ny,PIT BULL,PITBULL X/BULL DOG,,,M,1,,
ny,MIX,Mixed/Other,,,F,6,,
ny,YORKSHIRE TERR,Yorkshire Terrier,,,,,,
ny,SHIH TZU,Shih Tzu,,,,,,
ny,FRENCH BULLDOG,"Bull Dog, French",,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,POODLE TOY,"Poodle, Toy",,,,,,
ny,MALTESE,Maltese,,,M,,,
ny,UNKNOWN,SHEPERD,,,,,,
ny,YORKSHIRE TERR,Yorkshire Terrier,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,LARGE X BREED,,,,,,
ny,MIX,Yorkshire Terrier Crossbreed,,,F,0.75,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,M,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,MEDIUM MIXED BREED,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,LARGE MIXED BREED,,,F,4,,
ny,MALTESE,Maltese,,,,,,
ny,GOLDEN RETR,Golden Retriever,,,,,,
ny,PIT BULL,Pit Bull,,,F,3,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,UNKNOWN,UNKNOWN,,,F,3,,
ny,CHIHUAHUA,Chihuahua,,,,,,
ny,SCHNAUZER STAND,"Schnauzer, Standard",,,,,,
ny,GERM SHEPHERD,German Shepherd,,,M,5,,
ny,MIX,YORKIE/MALTESE MIX,,,M,4,,
ny,POMERANIAN,Pomeranian,,,,,,
ny,ENG BULLDOG,"Bull Dog, English",,,F,,,
ny,MIX,LARGE MIXED BREED,,,F,3,,
ny,PIT BULL,Pit Bull,,,,,,
ny,CHIHUAHUA,Chihuahua,,,,,,
ny,UNKNOWN,SHEPERD,,,,,,
ny,UNKNOWN,SHEPERD,,,,,,
ny,MIX,MIXED,,,,2,,
ny,MIX,MIXED,,,,2,,
ny,MIX,Yorkshire Terrier Crossbreed,,,,,,
ny,SHIH TZU,Shih Tzu,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,YORKSHIRE TERR,Yorkshire Terrier,,,,,,
ny,MIX,MIXED BREED DOG,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,UNKNOWN,SHEPERD,,,,,,
ny,SHIH TZU,Shih Tzu,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,CHIHUAHUA,Chihuahua,,,M,4,,
ny,FRENCH BULLDOG,"Bull Dog, French",,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,BULLY PIT BULL X,,,M,2,18,77.5
ny,UNKNOWN,UNKNOWN,,,M,3,,
ny,PIT BULL,Pit Bull,,,,,,
ny,UNKNOWN,SHEPARD,,,M,,,
ny,SHIH TZU,Shih Tzu,,,M,10,,
ny,ENG BULLDOG,"Bull Dog, English",,,,,,
ny,POODLE TOY,"Poodle, Toy",,,,,,
ny,COCKER SPAN,English Cocker Spaniel,,,F,3,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,DACHSHUND,Dachshund Smooth Coat Miniature,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,SHIH TZU,Shih Tzu,,,,,,
ny,CHIHUAHUA,Chihuahua,,,,,,
ny,SHIBA INU,Shiba Inu,,,M,1,,
ny,PIT BULL,Pit Bull,,,M,6,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,TERRIER,TERRIER,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,TERRIER,TERRIER,,,,,,
ny,MIX,MIXED BREED DOG,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,GERM SHEPHERD,German Shepherd,,,,,,
ny,CHIHUAHUA,Chihuahua,,,M,0.17,,
ny,SCHNAUZER MIN,"Schnauzer, Miniature",,,M,9,,
ny,PIT BULL,Pit Bull,,,M,,,
ny,MIX,Labrador Retriever Crossbreed,,,M,3,,
ny,BULLDOG,Bull dog,,,,,23.5,92.5
ny,MALTESE,Maltese,,,,,,
ny,MIX,TERRIER MIX,,,,,,
ny,ROTTWEILER,Rottweiler,,,,,,
ny,CHIHUAHUA,Chihuahua,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,POODLE STND,"Poodle, Standard",,,M,,,
ny,MIX,SMALL MIXED BREED,,,M,,,
ny,GERM SHEPHERD,German Shepherd,,,,,,
ny,MIX,LARGE MIX BREED,,,M,4,,
ny,GERM SHEPHERD,German Shepherd,,,,,,
ny,MIX,SHIH TZU / YORKIE MIX,,,M,3,,
ny,BELG SHEEPDOG,Belgian Sheepdog,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,F,3,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,MALTESE & POODLE MIX,,,M,0.5,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,M,1,,
ny,GERM SHEPHERD,German Shepherd,,,S,1,,
ny,PIT BULL,Pit Bull,,,,2,,
ny,PIT BULL,Pit Bull,,,F,2,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,LARGE MIX BREED,,,F,1,,
ny,CHOW CHOW,Chow Chow,,,N,4,,
ny,GERM SHEPHERD,German Shepherd,,,,,,
ny,UNKNOWN,UNKNOWN,,,F,6,,
ny,FRENCH BULLDOG,"Bull Dog, French",,,,,,
ny,MIX,SMALL MIXED BREED,,,,4,,
ny,PIT BULL,American Pit Bull Mix / Pit Bull Mix,,,M,,,
ny,POODLE STND,"Poodle, Standard",,,F,,,
ny,MIX,MIXED BREED,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,SMALL MIXDED DOG,,,N,2,,
ny,MIX,German Shepherd Crossbreed,,,,,,
ny,FRENCH BULLDOG,FRENCHIE,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,SMALL MIXED BREED,,,M,3,,
ny,BULL TERRIER,Bull Terrier,,,,,,
ny,CHIHUAHUA,Chihuahua,,,M,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,MIX,TERRIER MIX,,,M,3,,
ny,GERM SHEPHERD,German Shepherd,,,,,,
ny,MIX,SMALL MIXED,,,M,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,SHIH TZU,Shih Tzu,,,N,16,,
ny,PIT BULL,Pit Bull,,,F,,,
ny,PIT BULL,Pit Bull,,,,,,
ny,PIT BULL,Pit Bull,,,,,,
